n,log2n,12sqrtn,50sqrtn,n051,nlog2n,n2_minus324,100n2_6n,2n3,nlog2n_pow,pow3n
1.00,0.00,12.00,50.00,1.00,0.00,-323.00,106.00,2.00,1.00,3.00
2.00,1.00,16.97,70.71,1.42,2.00,-320.00,412.00,16.00,2.00,9.00
3.00,1.58,20.78,86.60,1.75,4.75,-315.00,918.00,54.00,5.70,27.00
4.00,2.00,24.00,100.00,2.03,8.00,-308.00,1624.00,128.00,16.00,81.00
5.00,2.32,26.83,111.80,2.27,11.61,-299.00,2530.00,250.00,41.97,243.00
6.00,2.58,29.39,122.47,2.49,15.51,-288.00,3636.00,432.00,102.68,729.00
7.00,2.81,31.75,132.29,2.70,19.65,-275.00,4942.00,686.00,235.77,2187.00
8.00,3.00,33.94,141.42,2.89,24.00,-260.00,6448.00,1024.00,512.00,6561.00
9.00,3.17,36.00,150.00,3.07,28.53,-243.00,8154.00,1458.00,1058.95,19683.00
10.00,3.32,37.95,158.11,3.24,33.22,-224.00,10060.00,2000.00,2098.59,59049.00
11.00,3.46,39.80,165.83,3.40,38.05,-203.00,12166.00,2662.00,4005.22,177147.00
12.00,3.58,41.57,173.21,3.55,43.02,-180.00,14472.00,3456.00,7393.06,531441.00
13.00,3.70,43.27,180.28,3.70,48.11,-155.00,16978.00,4394.00,13245.86,1594323.00
14.00,3.81,44.90,187.08,3.84,53.30,-128.00,19684.00,5488.00,23105.55,4782969.00
15.00,3.91,46.48,193.65,3.98,58.60,-99.00,22590.00,6750.00,39342.31,14348907.00
16.00,4.00,48.00,200.00,4.11,64.00,-68.00,25696.00,8192.00,65536.00,43046721.00
17.00,4.09,49.48,206.16,4.24,69.49,-35.00,29002.00,9826.00,107007.51,129140163.00
18.00,4.17,50.91,212.13,4.37,75.06,0.00,32508.00,11664.00,171550.58,387420489.00
19.00,4.25,52.31,217.94,4.49,80.71,37.00,36214.00,13718.00,270428.59,1162261467.00
20.00,4.32,53.67,223.61,4.61,86.44,76.00,40120.00,16000.00,419718.48,3486784401.00
21.00,4.39,54.99,229.13,4.72,92.24,117.00,44226.00,18522.00,642106.17,10460353203.00
22.00,4.46,56.28,234.52,4.84,98.11,160.00,48532.00,21296.00,969264.15,31381059609.00
23.00,4.52,57.55,239.79,4.95,104.04,205.00,53038.00,24334.00,1444974.67,94143178827.00
24.00,4.58,58.79,244.95,5.06,110.04,252.00,57744.00,27648.00,2129201.61,282429536481.00
25.00,4.64,60.00,250.00,5.16,116.10,301.00,62650.00,31250.00,3103361.46,847288609443.00
26.00,4.70,61.19,254.95,5.27,122.21,352.00,67756.00,35152.00,4477101.34,2541865828329.00
27.00,4.75,62.35,259.81,5.37,128.38,405.00,73062.00,39366.00,6396960.56,7625597484987.00
28.00,4.81,63.50,264.58,5.47,134.61,460.00,78568.00,43904.00,9057373.66,22876792454961.00
29.00,4.86,64.62,269.26,5.57,140.88,517.00,84274.00,48778.00,12714570.12,68630377364883.00
30.00,4.91,65.73,273.86,5.67,147.21,576.00,90180.00,54000.00,17704040.46,205891132094649.00
31.00,4.95,66.81,278.39,5.76,153.58,637.00,96286.00,59582.00,24462373.96,617673396283947.00
32.00,5.00,67.88,282.84,5.86,160.00,700.00,102592.00,65536.00,33554432.00,1853020188851841.00
33.00,5.04,68.93,287.23,5.95,166.47,765.00,109098.00,71874.00,45707007.51,5559060566555523.00
34.00,5.09,69.97,291.55,6.04,172.97,832.00,115804.00,78608.00,61850338.76,16677181699666570.00
35.00,5.13,70.99,295.80,6.13,179.52,901.00,122710.00,85750.00,83169099.05,50031545098999704.00
36.00,5.17,72.00,300.00,6.22,186.12,972.00,129816.00,93312.00,111164778.90,150094635296999136.00
37.00,5.21,72.99,304.14,6.31,192.75,1045.00,137122.00,101306.00,147731718.37,450283905890997376.00
38.00,5.25,73.97,308.22,6.39,199.42,1120.00,144628.00,109744.00,195249442.26,1350851717672992000.00
39.00,5.29,74.94,312.25,6.48,206.13,1197.00,152334.00,118638.00,256694405.94,4052555153018976256.00
40.00,5.32,75.89,316.23,6.56,212.88,1276.00,160240.00,128000.00,335774783.34,12157665459056928768.00
